english_word,part_of_speech,transcription,russian_word,speech
refrigerator,(n.),[rɪˈfrɪdʒəreɪtə(r)],холодильник,[sound:refrigerator.mp3]
genuine,(adj.),[ˈdʒenjʊɪn],"подлинный, неподдельный",[sound:genuine.mp3]
heavily,( adv.),[ˈhevɪli],"тяжело, интенсивно",[sound:heavily.mp3]
heel,(n.),[hiːl],"пятка, задник",[sound:heel.mp3]
decrease,(n.),[ˈdiːkriːs],"уменьшение, спад, понижение",[sound:decrease.mp3]
formula,(n.),[ˈfɔːmjʊlə],"формула, рецепт",[sound:formula.mp3]
select,(v.),[sɪˈlekt],"выбирать, отбирать",[sound:select.mp3]
planning,(n.),[ˈplænɪŋ],планирование,[sound:planning.mp3]
hesitate,(v.),[ˈhezɪteɪt],"медлить, колебаться",[sound:hesitate.mp3]
cook,(n.),[ˈkʊk],"повар, кок",[sound:cook.mp3]
declare,(v.),[dɪˈkleə(r)],"заявлять, объявлять",[sound:declare.mp3]
independently,(adv.),[ˌɪndəˈpend(ə)ntli],"независимо, автономно",[sound:independently.mp3]
awkwardly,(adv.),[ˈɔːkwədli],"неуклюже, неловко, грубо",[sound:awkwardly.mp3]
recommendation,(n.),[rekəmenˈdeɪʃ(ə)n],рекомендация,[sound:recommendation.mp3]
inevitable,(adj.),[ɪnˈevɪtəb(ə)l],"неизбежный, неминуемый, неотвратимый",[sound:inevitable.mp3]
forward,(adj.),[ˈfɔːwəd],"передний, направленный вперёд",[sound:forward.mp3]
socially,(adv.),[ˈsoʊʃəliː],"неофициально, социально",[sound:socially.mp3]
guy,(n.),[ɡaɪ],"малый, парень",[sound:guy.mp3]
waist,(n.),[weɪst],талия,[sound:waist.mp3]
dying,(adj.),[ˈdaɪɪŋ],"умирающий, погибающий",[sound:dying.mp3]
construct,(v.),[kənˈstrʌkt],"строить, сооружать",[sound:construct.mp3]
react,(v.),[rɪˈækt],"реагировать, отзываться",[sound:react.mp3]
express,(v.),[ɪkˈspres],"изображать, выражать",[sound:express.mp3]
exaggerated,(adj.),[ɪgˈzædʒəˌreɪtid],"чрезмерный, преувеличенный",[sound:exaggerated.mp3]
horizontal,(adj.),[hɒrɪˈzɒnt(ə)l],горизонтальный,[sound:horizontal.mp3]
congratulations,(n.),[kənɡrætjʊˈleɪʃ(ə)n],поздравление,[sound:congratulations.mp3]
substantial,(adj.),[səbˈstænʃ(ə)l],"крепкий, прочный, питательный",[sound:substantial.mp3]
naked,(adj.),[ˈneɪkɪd],"голый, нагой",[sound:naked.mp3]
link,(n.),[lɪŋk],"связь, соединение, звено (цепи)",[sound:link.mp3]
trap,(v.),[træp],"удерживать, останавливать",[sound:trap.mp3]
thief,(n.),[θiːf],вор,[sound:thief.mp3]
outline,(n.),[ˈaʊtlaɪn],"очертание, контур, эскиз",[sound:outline.mp3]
housing,(n.),[ˈhaʊzɪŋ],"размещение, жилье",[sound:housing.mp3]
competitive,(adj.),[kəmˈpetɪtɪv],"соперничающий, конкурентный",[sound:competitive.mp3]
employer,(n.),[ɪmˈplɔɪə(r)],"наниматель, работодатель",[sound:employer.mp3]
bandage,(v.),[ˈbændɪdʒ],"бинтовать, перевязывать",[sound:bandage.mp3]
humorous,(adj.),[ˈhjuːmərəs],юмористический,[sound:humorous.mp3]
classic,(n.),[ˈklæsɪk],классика,[sound:classic.mp3]
philosophy,(n.),[fɪˈlɒsəfɪ],философия,[sound:philosophy.mp3]
north,(adv.),[ˈnɔrθ],на север,[sound:north.mp3]
ideal,(adj.),[aɪˈdiːəl],"идеальный, совершенный",[sound:ideal.mp3]
ideal,(n.),[aɪˈdiːəl],"идеал, образец",[sound:ideal.mp3]
approving,(adj.),[əˈpruːvin],"одобрительный, санкционирующий",[sound:approving.mp3]
throughout,(prep.),[θruːˈæʊt],"через, по всей площади, длине",[sound:throughout.mp3]
identity,(n.),[aɪˈdentəˌfaɪ],"тождество, личность",[sound:identity.mp3]
alternatively,(adv.),[ɔːlˈtəːnətɪvlɪ],"альтернативно, в качестве альтернативы",[sound:alternatively.mp3]
decay,(v.),[dɪˈkeɪ],"гнить, разлагаться, угасать",[sound:decay.mp3]
bet,(n.),[bet],"пари, ставка",[sound:bet.mp3]
imaginary,(adj.),[ɪˈmædʒɪnərɪ],"воображаемый, нереальный",[sound:imaginary.mp3]
educated,(adj.),[ˈedjʊkeɪtid],"образованный, тренированный",[sound:educated.mp3]
whistle,(v.),[ˈwɪs(ə)l],свистеть,[sound:whistle.mp3]
immoral,(adj.),[ɪˈmɒr(ə)l],"амморальный, безнравственный",[sound:immoral.mp3]
damp,(adj.),[dæmp],"влажный, сырой",[sound:damp.mp3]
involvement,(n.),[ɪnˈvɒlvmənt],"путаница, запутанность",[sound:involvement.mp3]
import,(v.),[ˈɪmpɔːt],импортировать,[sound:import.mp3]
gamble,(n.),[ˈɡæmb(ə)l],"азартная игра, авантюра",[sound:gamble.mp3]
alternative,(adj.),[ɔːlˈtəːnətɪv],альтернативный,[sound:alternative.mp3]
consistent,(adj.),[kənˈsɪst(ə)nt],"последовательный, стойкий, совместимый",[sound:consistent.mp3]
steep,(adj.),[stiːp],крутой,[sound:steep.mp3]
incident,(n.),[ˈɪnsɪd(ə)nt],"проишествие, инцидент",[sound:incident.mp3]
beef,(n.),[biːf],говядина,[sound:beef.mp3]
defend,(v.),[dɪˈfend],защищать,[sound:defend.mp3]
highlight,(v.),[ˈhaɪlaɪt],"отводить главное место, подчеркивать",[sound:highlight.mp3]
admiration,(n.),[ædmɪˈreɪʃ(ə)n],"восторг, изумление, восхищение",[sound:admiration.mp3]
indirect,(adj.),[ɪndaɪˈrekt],"непрямой, косвенный",[sound:indirect.mp3]
indirectly,(adv.),[ɪndaɪˈrektli],"косвенно, опосредованно",[sound:indirectly.mp3]
unfortunate,(adj.),[ʌnˈfɔːtʃənət],"неудачливый, несчастливый",[sound:unfortunate.mp3]
absolute,(adj.),[ˈæbsəluːt],"абсолютный, безусловный",[sound:absolute.mp3]
brightly,(adv.),[ˈbraɪtli],"ярко, блестяще",[sound:brightly.mp3]
conduct,(v.),[ˈkɒndʌkt],"сопровождать, дирижировать, проводить (элект.)",[sound:conduct.mp3]
theme,(n.),[θiːm],"тема, предмет (обсуждения)",[sound:theme.mp3]
initial,(adj.),[ɪˈnɪʃ(ə)l],"начальный, исходный",[sound:initial.mp3]
security,(n.),[sɪˈkjʊərɪtɪ],безопастность,[sound:security.mp3]
drag,(v.),[dræɡ],"тянуть, тащить, волочить",[sound:drag.mp3]
inner,(adj.),[ˈɪnə(r)],внутренний,[sound:inner.mp3]
inquiry,(n.),[ɪnˈkwaɪərɪ],"вопрос, запрос",[sound:inquiry.mp3]
breathing,(n.),[ˈbriːðɪŋ],дыхание,[sound:breathing.mp3]
graduate,(v.),[ˈɡrædjʊət],"оканчивать, выпускать (об обучении)",[sound:graduate.mp3]
uncertain,(adj.),[ʌnˈsəːt(ə)n],"неопределённый, неясный",[sound:uncertain.mp3]
insist,(v.),[ɪnˈsɪst],"утверждать, настаивать",[sound:insist.mp3]
install,(v.),[ɪnˈstɔːl],"вставлять, устанавливать",[sound:install.mp3]
smart,(adj.),[smɑːt],"умный, хитрый, нахальный",[sound:smart.mp3]
decrease,(v.),[ˈdiːkriːs],"уменьшаться, убывать, сокращаться",[sound:decrease.mp3]
waiter,(n.),[ˈweɪtə(r)],"официант, посетитель",[sound:waiter.mp3]
shake,(n.),[ˈʃeɪk],"встряска, шок, дрожь",[sound:shake.mp3]
insurance,(n.),[ɪnˈʃʊərəns],страхование,[sound:insurance.mp3]
e-mail,(n.),[ˈiːˌmeɪl],электронная почта,[sound:e-mail.mp3]
intelligence,(n.),[ɪnˈtelɪdʒ(ə)ns],"интеллект, рассудок, разум",[sound:intelligence.mp3]
suspect,(n.),[ˈsʌspekt],"подозреваемый, подозрительный (чел.)",[sound:suspect.mp3]
intended,(adj.),[ɪnˈtendid],"намеченный, предназначенный",[sound:intended.mp3]
presence,(n.),[ˈprez(ə)ns],"присутствие, наличие",[sound:presence.mp3]
draft,(adj.),[drɑːft],"черновой, тёмная (комната)",[sound:draft.mp3]
heal,(v.),[hiːl],"вылечивать, исцелять",[sound:heal.mp3]
internal,(adj.),[ɪnˈtəːn(ə)l],"внутренний, душевный, сокровенный",[sound:internal.mp3]
elderly,(adj.),[ˈeldəlɪ],"пожилой, почтенный",[sound:elderly.mp3]
saving,(n.),[ˈseɪvɪŋ],"бережливость, расчетливость",[sound:saving.mp3]
slope,(n.),[sləʊp],"наклон, уклон, спуск",[sound:slope.mp3]
invention,(n.),[ɪnˈvenʃ(ə)n],изобретение,[sound:invention.mp3]
decade,(n.),[ˈdekeɪd],десяток,[sound:decade.mp3]
blind,(adj.),[blaɪnd],слепой,[sound:blind.mp3]
administration,(n.),[ədmɪnɪˈstreɪʃ(ə)n],"администрация, управление",[sound:administration.mp3]
breed,(n.),[briːd],"порода, потомство",[sound:breed.mp3]
imply,(v.),[ɪmˈplaɪ],"предполагать, подразумевать",[sound:imply.mp3]
dump,(n.),[dʌmp],"свалка, трущеба",[sound:dump.mp3]
infect,(v.),[ɪnˈfekt],"заражать, внушать",[sound:infect.mp3]
cooperation,(n.),[kəʊɒpəˈreɪʃ(ə)n],"сотрудничество, кооперация",[sound:cooperation.mp3]
jealous,(adj.),[ˈdʒeləs],"ревнивый, ревнующий",[sound:jealous.mp3]
qualify,(v.),[ˈkwɒlɪfaɪ],"обучать, получать право",[sound:qualify.mp3]
client,(n.),[ˈklaɪənt],"клиент, заказчик",[sound:client.mp3]
salary,(n.),[ˈsælərɪ],зарплата,[sound:salary.mp3]
joy,(n.),[dʒɔɪ],"радость, счастье, восторг, удовольствие",[sound:joy.mp3]
underneath,(adv.),[ʌndəˈniːθ],"внизу, ниже",[sound:underneath.mp3]
later,(adj.),[later],более поздний,[sound:later.mp3]
rapid,(adj.),[ˈræpɪd],"быстрый, стремительный",[sound:rapid.mp3]
jury,(n.),[ˈdʒʊərɪ],присяжные,[sound:jury.mp3]
urge,(v.),[əːdʒ],"подгонять, заставлять",[sound:urge.mp3]
collapse,(v.),[kəˈlæps],"разрушаться, сильно ослабеть",[sound:collapse.mp3]
depressing,(adj.),[dɪˈpresɪŋ],"тягостный, унылый",[sound:depressing.mp3]
virtually,(adv.),[ˈvəːtjʊəlɪ],"фактически, поистине",[sound:virtually.mp3]
key,(adj.),[ˈkiː],"основной, ключевое",[sound:key.mp3]
penalty,(n.),[ˈpenəltɪ],"наказание, штраф",[sound:penalty.mp3]
response,(n.),[rɪˈspɒns],"ответ, отклик",[sound:response.mp3]
acknowledge,(v.),[əkˈnɒlɪdʒ],"сознавать, допускать, признавать",[sound:acknowledge.mp3]
relative,(adj.),[ˈrelətɪv],"относительный, связанный",[sound:relative.mp3]
riding,(n.),[ˈraɪdɪŋ],верховая езда,[sound:riding.mp3]
upon,(prep.),[əˈpɒn],"на, о, по",[sound:upon.mp3]
plus,(prep.),[plʌs],плюс,[sound:plus.mp3]
wound,(v.),[wuːnd],"ранить, причинять боль",[sound:wound.mp3]
anxious,(adj.),[ˈæŋkʃəs],"беспокоящийся, сильно желающий (чего-л.)",[sound:anxious.mp3]
laboratory,(n.),[ləˈbɒrətərɪ],лаборатория,[sound:laboratory.mp3]
online,(adv.),[ɒnˈlaɪn],в подключенном режиме,[sound:online.mp3]
carrot,(n.),[ˈkærət],морковь,[sound:carrot.mp3]
trade,(n.),[treɪd],"торговля, обмен, профессия",[sound:trade.mp3]
delight,(n.),[dɪˈlaɪt],"удовольствие, наслаждение",[sound:delight.mp3]
cottage,(n.),[ˈkɒtɪdʒ],небольшой сельский дом,[sound:cottage.mp3]
gamble,(v.),[ˈɡæmb(ə)l],играть в азартные игры,[sound:gamble.mp3]
physics,(n.),[ˈfɪzɪks],физика (наука),[sound:physics.mp3]
characteristic,(adj.),[ˌkerɪktəˈrɪstɪk],"характерный, отличительный, типичный",[sound:characteristic.mp3]
overseas,(adj.),[ˌoʊvərˈsiːz],"заморский, заокеанский, заграничный",[sound:overseas.mp3]
capital,(adj.),[ˈkæpɪt(ə)l],"основной, заглавный (о букве)",[sound:capital.mp3]
blonde,(adj.),[blɒnd],"белокурый, светловолосый",[sound:blonde.mp3]
possess,(v.),[pəˈzes],"владеть, иметь",[sound:possess.mp3]
latest,(n.),[ˈleɪtɪst],"новейший, последний",[sound:latest.mp3]
comfortably,(adv.),[ˈkəm(p)(f)təbəli],уютно,[sound:comfortably.mp3]
latter,(adj.),[ˈlætər],"недавний, более поздний, последний",[sound:latter.mp3]
program,(v.),[ˈproʊˌgræm],программировать,[sound:program.mp3]
fighting,(n.),[ˈfaɪtɪŋ],"бой, сражение, битва,",[sound:fighting.mp3]
yes,(n.),[ˈjes],"утвердительный ответ, согласие",[sound:yes.mp3]
shelter,(n.),[ˈʃeltə(r)],"убежище, прикрытие, защита",[sound:shelter.mp3]
ridiculous,(adj.),[rɪˈdɪkjʊləs],"нелепый, смешной",[sound:ridiculous.mp3]
unlike,(prep.),[ʌnˈlaɪk],в отличие от,[sound:unlike.mp3]
lecture,(n.),[ˈlektʃə(r)],"лекция, поучение",[sound:lecture.mp3]
interval,(n.),[ˈɪntəv(ə)l],"интервал, промежуток, расстояние",[sound:interval.mp3]
label,(n.),[ˈleɪb(ə)l],"ярлык, этикетка",[sound:label.mp3]
fold,(n.),[ˈfoʊld],"сгиб, изгиб, складка",[sound:fold.mp3]
chat,(n.),[tʃæt],"беседа, болтовня",[sound:chat.mp3]
disgust,(n.),[dɪsˈɡʌst],"недовольство, раздражение",[sound:disgust.mp3]
empire,(n.),[ˈempaɪə(r)],империя,[sound:empire.mp3]
labor,(n.),[ˈleɪbə(r)],"труд, работа",[sound:labor.mp3]
singing,(n.),[ˈsɪŋɪŋ],пение,[sound:singing.mp3]
slope,(v.),[sləʊp],"спускаться, наклонять",[sound:slope.mp3]
thickly,(adv.),[ˈθɪklɪ],толсто,[sound:thickly.mp3]
aggressive,(adj.),[əˈɡresɪv],"агрессивный, опасный",[sound:aggressive.mp3]
confidently,(adv.),[ˈkɑnfədəntli],уверенно,[sound:confidently.mp3]
understanding,(n.),[ˌəndərˈstændɪŋ],"понимание, осмысление",[sound:understanding.mp3]
transfer,(n.),[ˈtrænsfəː(r)],"перенос, транзитный билет, пересадка",[sound:transfer.mp3]
anxiously,(adv.),[ˈæŋkʃəsli],"с волнением, очень, сильно",[sound:anxiously.mp3]
loosely,(adv.),[ˈluːsli],"свободно, просторно",[sound:loosely.mp3]
live,(adv.),[laɪv],живьем,[sound:live_~_as.mp3]
grand,(adj.),[ɡrænd],"большой, великий",[sound:grand.mp3]
unload,(v.),[ʌnˈləʊd],"разгружать, выгружать",[sound:unload.mp3]
flu,(n.),[fluː],"грипп, инфлюэнца",[sound:flu.mp3]
location,(n.),[ləʊˈkeɪʃ(ə)n],"положение, местоположение, локация",[sound:location.mp3]
alarming,(adj.),[əˈlɑrmin],"волнующий, тревожный",[sound:alarming.mp3]
bottom,(adj.),[ˈbɒtəm],"нижний, крайний, последний, базовый",[sound:bottom.mp3]
stranger,(n.),[ˈstreɪndʒə(r)],"незнакомец, чужестранец, гость",[sound:stranger.mp3]
live,(adj.),[laɪv],живой,[sound:live_~_alive.mp3]
specialist,(n.),[ˈspeʃəlɪst],"знаток, специалист",[sound:specialist.mp3]
spelling,(n.),[ˈspelɪŋ],"орфография, правописание",[sound:spelling.mp3]
meanwhile,(adv.),[ˈmiːnˌwaɪl],"тем временем, в это время, одновременно",[sound:meanwhile.mp3]
define,(v.),[dɪˈfaɪn],определять,[sound:define.mp3]
loud,(adv.),[ˈlæʊd],"громкий, звучный",[sound:loud.mp3]
faith,(n.),[feɪθ],"вера, доверие, вероисповедание",[sound:faith.mp3]
skilled,(adj.),[skɪld],"квалифицированный, умелый, опытный",[sound:skilled.mp3]
conflict,(n.),[ˈkɒnflɪkt],"конфликт, спор",[sound:conflict.mp3]
conflict,(v.),[ˈkɒnflɪkt],"конфликтовать, противоречить",[sound:conflict.mp3]
lower,(v.),[ˈləʊə(r)],"спускать, опускать",[sound:lower.mp3]
bond,(n.),[bɒnd],"связь, узы",[sound:bond.mp3]
appeal,(v.),[əˈpiːl],"просить, привлекать, обжаловать",[sound:appeal.mp3]
apologize,(v.),[əˈpɒlədʒaɪz],извиняться,[sound:apologize.mp3]
domestic,(adj.),[dəˈmestɪk],"домашний, внутренний",[sound:domestic.mp3]
millimeter,(n.),[ˈmɪləˌmiːtər],миллиметр,[sound:millimeter.mp3]
blank,(adj.),[blæŋk],"пустой, чистый, неисписанный",[sound:blank.mp3]
niece,(n.),[niːs],племянница,[sound:niece.mp3]
perspective,(n.),[pəˈspektɪv],"перспектива, ракурс",[sound:perspective.mp3]
gear,(n.),[ɡɪə(r)],"шестерня, передача, одежда (спец.)",[sound:gear.mp3]
approval,(n.),[əˈpruːv(ə)l],"одобрение, утверждение",[sound:approval.mp3]
double,(adv.),[ˈdʌb(ə)l],"вдвое, парой, дважды",[sound:double.mp3]
manner,(n.),[ˈmænə(r)],"способ, метод, манера",[sound:manner.mp3]
manufacture,(v.),[mænjʊˈfæktʃə(r)],"изготовлять, производить, фабриковать",[sound:manufacture.mp3]
abandon,(v.),[əˈbænd(ə)n],"покидать, оставлять",[sound:abandon.mp3]
annoy,(v.),[əˈnɔɪ],"раздражать, злить, надоедать",[sound:annoy.mp3]
curl,(n.),[kəːl],"локон, завиток",[sound:curl.mp3]
emotionally,(adv.),[ɪˈməʊʃən(ə)li],"эмоционально, с чувством",[sound:emotionally.mp3]
marketing,(n.),[ˈmɑrkətɪŋ],"торговля, сбыт, маркетинг",[sound:marketing.mp3]
weird,(adj.),[wɪəd],"странный, чудной, жуткий",[sound:weird.mp3]
mass,(adj.),[mæs],"массовый, широкий",[sound:mass.mp3]
massive,(adj.),[ˈmæsɪv],"большой, крупный, массивный",[sound:massive.mp3]
dramatic,(adj.),[drəˈmætɪk],"драматичный, волнующий",[sound:dramatic.mp3]
Sunday,(n.),[ˈsʌndeɪ],воскресенье,[sound:sunday.mp3]
professor,(n.),[prəˈfesə(r)],профессор,[sound:professor.mp3]
senate,(n.),[ˈsenɪt],сенат,[sound:senate.mp3]
maximum,(adj.),[ˈmæksɪməm],максимальный,[sound:maximum.mp3]
troop,(n.),[truːp],"отряд, группа людей",[sound:troop.mp3]
May,(n.),[meɪ],май,[sound:may.mp3]
selection,(n.),[sɪˈlekʃ(ə)n],"выбор, подбор",[sound:selection.mp3]
tip,(n.),[tɪp],"кончик, чаевые, подсказка",[sound:tip.mp3]
reflect,(v.),[rɪˈflekt],отражать,[sound:reflect.mp3]
attend,(v.),[əˈtend],"посещать, присутствовать",[sound:attend.mp3]
pole,(n.),[pəʊl],"столб, шест, жердь",[sound:pole.mp3]
chemist,(n.),[ˈkemɪst],химик,[sound:chemist.mp3]
mere,(adj.),[mɪə(r)],"всего лишь, не более чем",[sound:mere.mp3]
estimate,(n.),[ˈestɪmət],"оценка, смета, определение стоимости",[sound:estimate.mp3]
retired,(adj.),[rɪˈtaɪəd],"отставной, удалившийся от дел",[sound:retired.mp3]
membership,(n.),[ˈmembərˌʃɪp],членство,[sound:membership.mp3]
possession,(n.),[pəˈzeʃ(ə)n],"владение, обладание",[sound:possession.mp3]
courage,(n.),[ˈkʌrɪdʒ],"смелость, храбрость, отвага",[sound:courage.mp3]
mild,(adj.),[maɪld],"мягкий, тихий, легкий",[sound:mild.mp3]
machinery,(n.),[məˈʃiːnərɪ],"машины (произв.), механизмы",[sound:machinery.mp3]
bound,(adj.),[baʊnd],"обязанный, вынужденный, направляющийся",[sound:bound.mp3]
policy,(n.),[pəˈliːs],политика,[sound:policy.mp3]
concrete,(adj.),[ˈkɒŋkriːt],бетонный,[sound:concrete.mp3]
surprisingly,(adv.),[səˈpraɪzɪŋliː],"удивительно, неожиданно",[sound:surprisingly.mp3]
softly,(adv.),[ˈsɔfliː],"мягко, нежно",[sound:softly.mp3]
fellow,(n.),[ˈfeləʊ],"человек, парень, тип",[sound:fellow.mp3]
a.m.,(lat.),[æm],(ante meridiem) до полудня,[sound:a_m.mp3]
extensive,(adj.),[ɪkˈstensɪv],"пространственный, обширный",[sound:extensive.mp3]
mobile,(adj.),[ˈməʊbaɪl],"подвижный, передвижной",[sound:mobile.mp3]
racing,(n.),[ˈreɪsɪŋ],"гонки, скачки",[sound:racing.mp3]
walking,(n.),[ˈwɔːkɪŋ],ходьба,[sound:walking.mp3]
monitor,(n.),[ˈmɒnɪt(ə)r],"монитор, экран",[sound:monitor.mp3]
object,(v.),[ˈɑbdʒɪkt],"возражать, протестовать",[sound:object.mp3]
rank,(v.),[ræŋk],строится в шеренгу (по рангу),[sound:rank.mp3]
numerous,(adj.),[ˈnjuːmərəs],многочисленный,[sound:numerous.mp3]
relative,(n.),[ˈrelətɪv],родственник,[sound:relative.mp3]
necessarily,(adv.),[nesəˈserɪlɪ],"обязательно, непременно",[sound:necessarily.mp3]
moreover,(adv.),[mɔːˈrəʊvə(r)],"сверх того, кроме того",[sound:moreover.mp3]
nephew,(n.),[ˈnɛfyu],племянник,[sound:nephew.mp3]
principle,(n.),[ˈprɪnsɪp(ə)l],"правило, закон, принцип",[sound:principle.mp3]
destruction,(n.),[dɪˈstrʌkʃ(ə)n],"разрушение, уничтожение",[sound:destruction.mp3]
movie theater,(n.),[ˈmuːviː ˈθiːətər],кинотеатр,[sound:movie_theater.mp3]
former,(adj.),[ˈfɔːmə(r)],"бывший, давний, старый",[sound:former.mp3]
calmly,(adv.),[ˈkɑmli],"спокойно, невозмутимо",[sound:calmly.mp3]
artificially,(adv.),[ˌɑrtəˈfɪʃəli],искусственно,[sound:artificially.mp3]
even,(adj.),[ˈiːvən],"плоский, гладкий, равномерный",[sound:even.mp3]
mystery,(n.),[ˈmɪstərɪ],"тайна, загадка, головоломка",[sound:mystery.mp3]
sideways,(adv.),[ˈsaɪdweɪz],"в сторону, сбоку",[sound:sideways.mp3]
downtown,(adj.),[ˈdaʊntaʊn],расположенный в деловом районе,[sound:downtown.mp3]
wildly,(adv.),[ˈwaɪldlɪ],дико,[sound:wildly.mp3]
substitute,(n.),[ˈsʌbstɪtjuːt],"заместитель, замена",[sound:substitute.mp3]
delight,(v.),[dɪˈlaɪt],"радовать, восхищать",[sound:delight.mp3]
transition,(n.),[trænˈzɪʃ(ə)n],"эволюция, развитие",[sound:transition.mp3]
management,(n.),[ˈmænɪdʒmənt],"управление, руководство, менеджмент",[sound:management.mp3]
businesswoman,(n.),[ˈbɪznɪsˈwʊmən],"деловая женщина, комерсант",[sound:businesswoman.mp3]
delivery,(n.),[dɪˈlɪvəri],"доставка, вручение, роды",[sound:delivery.mp3]
register,(n.),[ˈredʒɪstə(r)],"журнал, учетная книга",[sound:register.mp3]
mount,(v.),[maʊnt],"подниматься, взбираться, садится (в машину)",[sound:mount.mp3]
contrasting,(adj.),[kənˈtræstin],"контрастный, противоположный",[sound:contrasting.mp3]
nevertheless,(adv.),[ˌnevərðəˈles],"всё же, всё-таки, тем не менее",[sound:nevertheless.mp3]
independence,(n.),[ˌɪndɪˈpend(ə)ns],"автономия, независимость",[sound:independence.mp3]
ambulance,(n.),[ˈæmbjələns],полевой госпиталь или скорая помощь,[sound:ambulance.mp3]
unemployed,(adj.),[ʌnɪmˈplɔɪd],"безработный, незанятый",[sound:unemployed.mp3]
limited,(adj.),[ˈlɪmətəd],"ограниченный, стеснённый",[sound:limited.mp3]
assume,(v.),[əˈsjuːm],"предполагать, допускать",[sound:assume.mp3]
advance,(n.),[ədˈvɑːns],"движение вперёд, продвижение",[sound:advance.mp3]
exclude,(v.),[ɪkˈskluːd],"исключать, не впускать, не допускать",[sound:exclude.mp3]
nod,(v.),[nɒd],кивнуть головой,[sound:nod.mp3]
reject,(v.),[ˈriːdʒekt],"отвергать, отклонять",[sound:reject.mp3]
businessman,(n.),[ˈbɪznɪsmæn],"предприниматель, комерсант, бизнесмен",[sound:businessman.mp3]
ice cream,(n.),[ˈaɪsˈkriːm],мороженное,[sound:ice_cream.mp3]
ease,(n.),[iːz],"легкость, простота",[sound:ease.mp3]
thus,(adv.),[ðʌs],"так, таким образом",[sound:thus.mp3]
stay,(n.),[ˈsteɪ],"остановка, стоянка, пребывание",[sound:stay.mp3]
unusually,(adv.),[ʌnˈjuːʒʊəlɪ],"небывало, необычно",[sound:unusually.mp3]
revise,(v.),[rɪˈvaɪz],"проверять, исправлять",[sound:revise.mp3]
classic,(adj.),[ˈklæsɪk],классический,[sound:classic.mp3]
monitor,(v.),[ˈmɒnɪt(ə)r],"наставлять, советовать, наблюдать",[sound:monitor.mp3]
objective,(adj.),[əbˈdʒektɪv],"объективный, беспристрасный",[sound:objective.mp3]
fundamental,(adj.),[fʌndəˈment(ə)l],"основной, базисный, существенный, фундаментальный",[sound:fundamental.mp3]
observe,(v.),[əbˈzəːv],"наблюдать, следить (за чем-л.)",[sound:observe.mp3]
gradually,(adv.),[ˈɡrædjʊəlɪ],"понемногу, постепенно",[sound:gradually.mp3]
encouragement,(n.),[ɪnˈkʌrɪdʒmənt],"ободрение, поощрение, потворство",[sound:encouragement.mp3]
tiny,(adj.),[ˈtaɪnɪ],"крошечный, миниатюрный",[sound:tiny.mp3]
population,(n.),[pɒpjʊˈleɪʃ(ə)n],население,[sound:population.mp3]
disappointing,(adj.),[dɪsəˈpɔɪntɪŋ],"неутешительный, разочаровывающий",[sound:disappointing.mp3]
October,(n.),[ɒkˈtəʊbə(r)],октябрь,[sound:october.mp3]
claim,(n.),[kleɪm],"утверждение, заявление, требование",[sound:claim.mp3]
cute,(adj.),[kjuːt],"изящный, привлекательный",[sound:cute.mp3]
cheat,(n.),[ˈtʃiːt],"мошеничество, жулик, обманщик",[sound:cheat.mp3]
disappointment,(n.),[dɪsəˈpɔɪntmənt],"разочарование, досада, недовольство",[sound:disappointment.mp3]
patience,(n.),[ˈpeɪʃ(ə)ns],"терпение, настойчивость",[sound:patience.mp3]
convention,(n.),[kənˈvenʃ(ə)n],"собрание, съезд",[sound:convention.mp3]
virus,(n.),[ˈvaɪərəs],вирус,[sound:virus.mp3]
balance,(v.),[ˈbæləns],"уравновешивать, сопоставлять",[sound:balance.mp3]
buyer,(n.),[ˈbaɪə(r)],покупатель (дорогих вещей),[sound:buyer.mp3]
tap,(n.),[tæp],"лёгкий стук, кран",[sound:tap.mp3]
wander,(v.),[ˈwɒndə(r)],"прохаживаться, прогуливаться",[sound:wander.mp3]
stream,(n.),[striːm],"поток, струя, ручей",[sound:stream.mp3]
annoying,(adj.),[əˈnɔɪɪŋ],"раздражающий, досадный, надоедливый",[sound:annoying.mp3]
compete,(v.),[kəmˈpiːt],"состязаться, участвовать в соревновании",[sound:compete.mp3]
forecast,(n.),[ˈfɔːkɑːst],прогноз,[sound:forecast.mp3]
strike,(v.),[straɪk],"бить, нападать, поражать, баставать",[sound:strike.mp3]
award,(n.),[əˈwɔːd],"&nbsp;присуждённая награда, премия или наказание",[sound:award.mp3]
milligram,(n.),[ˈmɪlɪɡræm],миллиграм,[sound:milligram.mp3]
opposing,(adj.),[əˈpoʊzɪŋ],противостоящий,[sound:opposing.mp3]
cap,(n.),[kæp],"кепка, фуражка",[sound:cap.mp3]
output,(n.),[ˈaʊtpʊt],"продукция, выпуск изделий",[sound:output.mp3]
detailed,(adj.),[ˈdiːteɪld],"подробный, детальный",[sound:detailed.mp3]
organ,(n.),[ˈɔːɡən],орган (телесный и музыкальный),[sound:organ.mp3]
dishonestly,(adv.),[dɪsˈɑnəstly],"нечестно, непорядочно, мошеннически",[sound:dishonestly.mp3]
logical,(adj.),[ˈlɒdʒɪk(ə)l],логический,[sound:logical.mp3]
silent,(adj.),[ˈsaɪlənt],"безмолвный, молчащий, немой",[sound:silent.mp3]
